Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Morocco,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007 Primary domestic currency: Moroccan dirham Data last updated: 09/2021",368.694,360.96,358.286,396.222,374.804,421.178,414.605,444.616,449.424,458.021,491.548,506.891,537.108,562.873,581.401,625.44,647.53,685.885,714.992,742.274,781.212,804.726,841.224,863.727,902.909,912.478,951.249,981.199,"1,006.79",943.429,997.508,2020
Mozambique,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Instituto Nacional de Estadistica (INE). Latest actual data: 2019. (1) There are discrepancies in the demand side of the national accounts. The reason for the discrepancies is that we don't adopt the authorities data for exports and imports in the national accounts, because the trade data in the national accounts do not include trades related to megaprojects (mainly natural resource projects). The authorities are currently working on addressing this issue supported by STA's TAs   (2) no constant price data on inventories, removed from dataset that was leading to zeros. Notes: Data prior to 1992 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Mozambican metical Data last updated: 09/2021",111.51,104.68,115.775,123.339,126.126,140.255,156.105,171.609,191.684,193.947,217.389,237.587,253.929,274.031,292.243,320.574,345.354,370.626,394.043,419.665,450.793,483.513,517.183,555.447,592.792,615.461,638.488,660.476,675.763,667.425,683.832,2019
Myanmar,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of National Planning and Economic Development. Historical data up to 2015/16 have been re-estimated by IMF staff to ensure data consistency after the change of fiscal year from April-March to October-September. Latest actual data: FY2019/20. FY(t/t+1) = CY(t+1) National accounts manual used: Other GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: October/September. In 2018 Myanmar authorities changed the fiscal year to 1 October to 30 September from previously 1 April to 31 March. Historical data up to 2015/16 have been re-estimated by IMF staff to ensure data consistency. Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Myanmar kyat Data last updated: 09/2021,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"14,707.66","15,947.79","17,928.22","20,163.46","22,165.20","25,090.13","28,933.32","32,858.70","37,231.16","41,885.24","45,051.09","47,026.77","49,494.10","52,202.08","55,587.78","59,978.47","64,896.61","69,746.13","74,215.75","78,483.20","83,510.03","89,147.34","91,990.62","75,489.53",2020
Namibia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Namibian dollar Data last updated: 09/2021,55.683,60.844,59.859,61.657,64.194,66.246,69.039,71.311,73.712,76.29,78.115,83.333,86.231,91.95,96.245,100.044,103.692,106.439,106.754,113.202,118.965,124.987,132.004,140.047,146.019,146.068,144.568,146.169,145.283,133.685,135.458,2020
Nauru,"Gross domestic product, constant prices",National currency,Billions,"Source: Nauru Authorities, IMF staff estimates Latest actual data: FY2018/19. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: July/June Base year: FY2006/07 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 08/2021",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.033,0.032,0.035,0.027,0.033,0.036,0.04,0.044,0.049,0.064,0.081,0.084,0.087,0.082,0.087,0.087,0.088,0.089,2019
Nepal,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: August/July. Fiscal year starts on July 16th, and ends July 15th the following year Base year: FY2000/01. Data prior to 2000/01 were estimated by IMF staff by using data splicing Chain-weighted: No Primary domestic currency: Nepalese rupee Data last updated: 09/2021",665.029,692.349,718.982,778.077,805.064,848.036,892.65,918.917,960.111,"1,018.83","1,076.18","1,077.47","1,119.98","1,172.42","1,213.21","1,254.03","1,296.82","1,375.98","1,438.36","1,507.63","1,559.22","1,632.04","1,689.57","1,791.14","1,862.36","1,870.42","2,038.34","2,193.71","2,339.74","2,290.88","2,332.18",2020
Netherlands,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021",431.117,437.968,443.504,456.847,469.516,485.922,506.951,530.618,557.32,580.724,594.243,595.53,596.468,608.297,620.747,642.236,666.461,680.937,655.964,664.761,675.063,668.101,667.253,676.755,690.008,705.131,725.657,742.789,757.314,728.345,755.782,2020
New Zealand,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Statistics New Zealand Latest actual data: 2020. Authorities' actual annual data are April/March recalculated using quarterly data as Jan/Dec Notes: Starting with the April 2021 WEO, real GDP data and forecasts are reported on a production basis. Nominal GDP data are reported on expenditure basis. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: January/December Base year: 2009. The base year is 2009Q2 to 2010Q1 Chain-weighted: Yes, from 1987 Primary domestic currency: New Zealand dollar Data last updated: 09/2021",111.227,112.005,117.861,124.44,130.531,135.843,139.181,139.607,145.97,152.18,156.079,163.449,170.389,178.508,184.145,189.53,196.063,195.706,193.352,196.751,200.371,205.292,210.018,217.885,225.815,234.708,242.981,251.283,257.367,252.082,264.832,2020
Nicaragua,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2020 Notes: Due to political and economic events (civil war and hyperinflation) data prior to 1995 are less reliable. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1994. annual overlap Primary domestic currency: Nicaraguan córdoba Data last updated: 08/2021",68.984,69.26,68.983,72.432,76.715,81.582,84.818,87.966,94.155,98.017,100.919,101.68,104.243,109.781,114.482,118.838,124.87,129.161,124.908,130.416,138.654,147.661,154.937,162.351,170.132,177.895,186.134,179.873,173.264,169.838,178.33,2020
Niger,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020. 2020 is an estimate. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,"2,272.20","2,317.66","2,325.14","2,368.34","2,426.47","2,428.89","2,465.97","2,711.96","2,705.93","2,673.22","2,867.55","3,008.63","3,074.32","3,085.44","3,311.74","3,508.21","3,618.50","3,898.30","3,974.82","4,315.89","4,417.57","4,883.26","5,142.60","5,484.27","5,725.22","6,053.89","6,356.67","6,814.64","7,217.15","7,478.42","7,879.28",2020
Nigeria,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Official re-based (2010) data for 2010-13 was published in July 2014, based on SNA 2008. Official backcasted data were published in July 2016 and 1990-2009 nominal and real GDP numbers were updated. However expenditure components of GDP are still IMF staff estimates and are subject to revision with official backcasted data. Latest actual data: 2020 Notes: Official backcasted data were published in July 2016 and 1990-2009 nominal and real GDP numbers were updated. However expenditure components of GDP are still IMF staff estimates and are subject to revision with official backcasted data. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Nigerian naira Data last updated: 09/2021","19,199.06","19,620.19","19,927.99","19,979.12","20,353.20","21,177.92","21,789.10","22,332.87","22,449.41","23,688.28","25,267.54","28,957.71","31,709.45","35,020.55","37,474.95","39,995.51","42,922.41","46,012.52","49,856.10","55,469.35","58,180.35","60,670.05","63,942.85","67,977.46","69,780.69","68,652.43","69,205.69","70,536.35","72,094.10","70,800.54","72,669.38",2020
North Macedonia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Macedonian denar Data last updated: 09/2021,n/a,269.265,249.07,244.587,241.897,244.799,248.106,256.494,267.646,279.794,271.212,275.263,281.381,294.533,308.447,324.292,345.285,364.179,362.873,375.061,383.837,382.086,393.263,407.535,423.249,435.304,440.013,452.688,467.057,445.89,463.726,2020
Norway,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 1980 Primary domestic currency: Norwegian krone Data last updated: 09/2021","1,915.73","1,984.21","2,040.67","2,143.83","2,232.92","2,345.19","2,469.12","2,533.92","2,584.93","2,667.77","2,723.12","2,762.51","2,787.65","2,898.30","2,974.40","3,045.78","3,136.97","3,151.92","3,097.48","3,119.22","3,149.84","3,234.98","3,268.43","3,332.80","3,398.36","3,434.78","3,514.58","3,553.90","3,584.17","3,556.72","3,664.37",2020
Oman,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Omani rial Data last updated: 09/2021,10.844,11.765,12.488,12.968,13.594,13.987,14.851,15.253,15.303,16.305,17.036,16.849,16.4,16.611,17.025,17.94,18.738,20.275,21.514,21.935,22.498,24.546,25.799,26.166,27.385,28.726,28.825,29.09,28.85,28.032,28.728,2020
Pakistan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Real GDP is based on factor costs whereas nominal GDP is based on market prices. Start/end months of reporting year: July/June Base year: FY2005/06. Data before 2006 were extended backwards using growth rates for overall GDP and expenditure component shares of the original series. Real GDP is based on factor costs whereas nominal GDP is based on market prices. As a result, any calculated GDP deflator using these the two different concepts will not be accurate. Chain-weighted: No Primary domestic currency: Pakistan rupee Data last updated: 09/2021","3,865.78","4,158.38","4,245.60","4,431.08","4,655.38","4,962.59","5,047.09","5,223.43","5,441.88","5,654.54","5,765.77","5,945.20","6,226.16","6,692.04","7,291.54","7,715.78","8,142.97","8,549.15","8,579.99","8,801.39","9,120.34","9,470.26","9,819.06","10,217.06","10,631.65","11,116.80","11,696.93","12,344.27","12,600.65","12,541.83","13,036.38",2020
Palau,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1). National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: FY2018/19 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 08/2021,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.227,0.243,0.254,0.245,0.255,0.264,0.262,0.265,0.251,0.233,0.232,0.242,0.246,0.242,0.253,0.278,0.28,0.271,0.277,0.275,0.251,0.202,2020
Panama,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007. The deflator in base year 2007 is not exactly 100 because of data splicing. In October 2015 the authorities published new national accounts with a base year of 2007. The new methodology uses chain-linked volume measures as opposed to constant prices. Data for years before 2007 currently do not exist for the re-based series. Chain-weighted: Yes, from 2007 Primary domestic currency: US dollar Data last updated: 09/2021",9.063,9.806,10.341,10.636,10.822,11.62,12.373,13.28,13.795,14.173,14.252,14.572,15.188,16.328,17.501,18.995,21.296,23.395,23.686,25.066,27.902,30.63,32.745,34.404,36.376,38.178,40.313,41.763,43.033,35.309,39.528,2020
Papua New Guinea,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office and MOF Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Papua New Guinea kina Data last updated: 09/2021,20.571,23.415,26.538,29.322,28.311,30.18,28.265,29.589,30.138,29.386,29.35,29.303,31.954,32.139,33.505,34.355,37.04,36.931,39.442,43.437,43.918,45.963,47.721,54.185,57.747,60.919,63.072,62.896,66.582,63.982,64.76,2019
Paraguay,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2019 Notes: Before 2008, GDP data were constructed backward using the new 2014 base year. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Paraguayan guaraní Data last updated: 09/2021","86,864.50","88,338.10","92,698.78","97,628.43","104,289.43","105,930.72","110,424.85","110,499.98","108,990.46","106,468.27","105,580.26","105,557.67","110,118.54","114,586.51","117,031.21","122,657.03","129,307.04","137,707.20","137,347.59","152,586.63","159,127.06","158,000.37","171,103.46","180,174.06","185,502.08","193,419.36","202,722.98","209,218.73","208,377.98","207,199.19","216,523.16",2019
Peru,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Peruvian sol Data last updated: 09/2021,154.854,154.017,162.094,182.044,195.536,201.01,214.028,213.19,216.377,222.208,223.579,235.773,245.592,257.771,273.971,294.598,319.693,348.87,352.693,382.081,406.256,431.199,456.435,467.309,482.506,501.58,514.215,534.665,546.161,486.059,534.851,2020
Philippines,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. accessed via Haver Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Philippine peso Data last updated: 09/2021,"5,216.76","5,238.55","5,352.85","5,586.97","5,845.38","6,187.94","6,508.87","6,475.41","6,692.10","6,985.38","7,198.38","7,465.89","7,845.68","8,361.08","8,774.32","9,240.80","9,843.24","10,270.88","10,419.63","11,183.86","11,615.36","12,416.47","13,254.64","14,096.05","14,990.91","16,062.68","17,175.98","18,265.19","19,382.75","17,527.24","18,092.15",2020
Poland,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2015 Primary domestic currency: Polish zloty Data last updated: 09/2021",686.311,700.263,730.286,768.545,820.251,871.427,933.18,979.668,"1,023.99","1,067.61","1,080.48","1,096.07","1,134.42","1,190.95","1,232.71","1,308.29","1,400.67","1,459.50","1,500.84","1,556.98","1,631.05","1,652.66","1,671.44","1,727.91","1,801.11","1,857.70","1,947.44","2,051.70","2,149.05","2,090.59","2,197.51",2020
Portugal,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021",136.469,140.74,139.773,141.854,145.127,150.213,156.824,164.364,170.785,177.302,180.748,182.142,180.447,183.675,185.111,188.119,192.834,193.45,187.41,190.667,187.433,179.828,178.169,179.58,182.798,186.49,193.029,198.529,203.855,186.645,194.935,2020
Puerto Rico,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. Puerto Rico Planning Board Latest actual data: FY2019/20. FY(t/t+1)=CY(t+1) National accounts manual used: Other GDP valuation: Market prices Start/end months of reporting year: July/June Base year: 1954 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,6.77,7.079,7.408,7.718,8.069,8.256,8.659,9.223,9.63,9.945,10.887,11.123,11.384,11.61,11.379,11.219,11.088,10.884,10.671,10.627,10.589,10.592,10.56,10.434,10.325,10.194,9.9,9.489,9.63,9.254,9.198,2020
Qatar,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. Qatar Planning and Statistics Authority(from 2010); Haver and IMF staff estimates (pre-2010). Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Qatari riyal Data last updated: 09/2021,74.201,81.935,81.206,82.772,83.071,86.584,110.607,121.947,126.541,135.33,141.42,151.14,157.166,187.381,201.981,258.703,305.762,359.253,406.181,478.261,532.316,557.495,588.47,619.861,649.325,669.221,659.199,667.339,672.51,648.383,661.008,2020
Romania,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Source: Eurostat and National Institute of Statistics. Minor differences between National Statistical Office and Eurostat. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Romanian leu Data last updated: 08/2021",419.244,382.492,388.335,403.604,432.414,449.487,422.279,401.936,397.314,408.918,430.257,454.794,465.441,513.978,537.971,581.164,623.204,681.209,643.624,618.515,630.304,643.166,667.42,691.505,711.93,745.412,799.972,835.767,870.263,836.676,895.246,2020
Russia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Gross capital formation includes statistical discrepancy. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. The discrepancy in historical national account comes from source data which recently got rebased. In the new methodology they rebased all the components of GDP prior to Q1 2016 by using the growth rates of the old series in 2011 prices. Chain-weighted: Yes, from 1995 Primary domestic currency: Russian ruble Data last updated: 09/2021",n/a,"58,646.99","53,544.70","46,744.53","44,828.00","43,210.60","43,807.80","41,466.10","44,099.80","48,529.90","51,000.30","53,419.90","57,345.70","61,460.70","65,379.40","70,710.20","76,745.40","80,772.70","74,455.60","77,808.70","81,750.60","85,040.30","86,533.10","87,170.20","85,450.60","85,616.10","87,179.30","89,626.60","91,448.70","88,749.80","92,912.05",2020
Rwanda,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: No Primary domestic currency: Rwandan franc Data last updated: 07/2021,"2,081.11","2,218.47","1,988.23","1,155.36","1,438.90","1,605.75","1,845.01","1,998.88","2,065.00","2,238.00","2,428.00","2,748.00","2,809.00","3,018.00","3,301.00","3,605.00","3,881.00","4,314.00","4,583.00","4,919.00","5,311.00","5,770.00","6,042.00","6,415.00","6,983.00","7,400.00","7,694.00","8,354.00","9,145.00","8,838.00","9,289.08",2019
Samoa,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) Notes: Data prior to 2000 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Base year: FY2012/13. Base year was updated from 2009 to 2013, affecting the data from 2009. Chain-weighted: No Primary domestic currency: Samoan tala Data last updated: 09/2021",0.913,0.951,0.967,1.029,1.096,1.176,1.185,1.198,1.191,1.251,1.344,1.42,1.494,1.54,1.642,1.677,1.685,1.745,1.736,1.78,1.854,1.778,1.771,1.772,1.848,1.997,2.018,1.976,2.047,1.991,1.847,2020
San Marino,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Euro Data last updated: 08/2021,n/a,n/a,n/a,n/a,n/a,n/a,1.018,1.094,1.193,1.219,1.287,1.291,1.341,1.402,1.436,1.491,1.597,1.591,1.43,1.347,1.232,1.143,1.134,1.127,1.157,1.184,1.187,1.205,1.234,1.153,1.217,2019
São Tomé and Príncipe,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. Instituto Nacional de Estatistica de Sao Tome & Principe. Latest actual data: 2020 Notes: There is a break in the series for 2001 onwards due to revision in GDP data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2008. Previously it was 2000. Manual revision to 2000 to smooth the series since the authorities did not splice and provide 2000. The rebased series begins in 2001 Chain-weighted: No Primary domestic currency: São Tomé and Príncipe dobra Data last updated: 09/2021,1.589,1.6,1.618,1.654,1.687,1.712,1.729,1.772,1.816,1.825,1.868,1.913,2.039,2.117,2.267,2.473,2.554,2.763,2.83,3.019,3.152,3.251,3.407,3.63,3.768,3.925,4.077,4.201,4.294,4.423,4.517,2020
Saudi Arabia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. General Authority for Statistics, Kingdom of Saudi Arabia (GSTAT) Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Saudi riyal Data last updated: 09/2021","1,267.65","1,318.20","1,300.22","1,307.49","1,310.26","1,344.82","1,359.66","1,399.00","1,346.35","1,422.09","1,404.87","1,365.26","1,518.75","1,639.62","1,731.01","1,779.27","1,812.14","1,925.39","1,885.75","1,980.78","2,178.79","2,296.70","2,358.69","2,444.84","2,545.24","2,587.76","2,568.57","2,631.09","2,639.81","2,531.41","2,603.19",2020
Senegal,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,"4,611.79","4,669.10","4,730.33","4,719.53","5,007.09","5,100.91","5,239.49","5,552.41","5,884.31","6,113.05","6,376.57","6,380.95","6,737.90","7,050.76","7,354.66","7,526.08","7,738.85","8,025.44","8,246.30","8,525.93","8,639.67","8,985.52","9,202.28","9,775.04","10,397.42","11,058.29","11,877.43","12,614.93","13,170.29","13,367.81","14,002.37",2019
Serbia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Statistical Office of the Republic of Serbia Latest actual data: 2020. The country in its current form has been in existence since 1992. Official data are only available from 1999 onward. The data prior to 1992 is presumably for the former SFR Yugoslavia. Metadata analysis available through the statistics office. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010 Primary domestic currency: Serbian dinar Data last updated: 09/2021",n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,671.52","2,347.02","2,529.13","2,655.40","2,844.35","2,969.94","3,238.62","3,567.48","3,749.70","3,991.16","4,216.88","4,101.69","4,131.67","4,215.80","4,187.07","4,308.19","4,239.71","4,315.02","4,459.08","4,552.77","4,757.43","4,959.55","4,910.96","5,232.14",2020
Seychelles,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Seychelles rupee Data last updated: 08/2021,3.435,3.682,3.951,3.854,3.873,4.26,4.78,4.898,4.99,5.202,5.084,5.145,4.842,4.704,5.128,5.61,6.195,6.062,5.995,6.352,6.693,6.939,7.357,7.69,8.068,8.423,8.843,8.96,9.132,7.957,8.506,2020
Sierra Leone,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 2010 Primary domestic currency: Sierra Leonean leone Data last updated: 08/2021","5,966.40","5,390.86","5,393.79","5,582.57","5,022.92","3,777.90","3,113.15","3,087.08","2,836.35","2,944.34","3,479.33","4,398.75","4,809.01","5,126.30","5,357.25","5,583.53","6,033.47","6,359.26","6,561.92","6,912.76","7,349.09","8,464.55","10,218.43","10,683.92","8,494.49","9,034.25","9,374.35","9,699.14","10,233.33","10,010.72","10,330.45",2018
Singapore,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2015 Primary domestic currency: Singapore dollar Data last updated: 08/2021",103.94,110.841,123.547,137.258,147.142,158.135,171.292,167.531,177.121,193.131,191.066,198.546,207.551,227.932,244.706,266.742,290.808,296.241,296.599,339.682,361.211,377.326,395.579,411.157,423.444,437.541,457.319,473.314,479.681,453.821,481.184,2020
Slovak Republic,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Eurostat & Haver Analytics Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1997 Primary domestic currency: Euro Data last updated: 09/2021",n/a,n/a,32.157,34.153,36.842,39.399,41.15,42.827,42.782,43.281,44.689,46.704,49.273,51.874,55.309,60.007,66.507,70.215,66.384,70.282,72.283,73.654,74.145,76.103,79.768,81.469,83.904,86.967,89.151,84.913,88.676,2019
Slovenia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000 Primary domestic currency: Euro Data last updated: 09/2021",n/a,20.111,20.674,21.77,22.662,23.479,24.664,25.473,26.831,27.817,28.712,29.718,30.598,31.932,33.144,35.049,37.495,38.811,35.882,36.364,36.677,35.709,35.342,36.32,37.123,38.307,40.152,41.928,43.291,41.46,44.08,2020
Solomon Islands,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank. For data prior to 1990, the source is IMF staff estimates. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. This has been updated till 2016 with data provided by the country authorities. For 2017 and onwards, real GDP is estimated by the staff, based on sectoral growth assumptions provided by the Central Bank of Solomon Islands. Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Solomon Islands dollar Data last updated: 08/2021",4.77,5.376,5.591,6.044,6.654,6.761,6.699,6.786,6.753,5.789,5.328,5.179,5.517,5.884,6.21,6.512,6.802,7.197,7.381,8.017,8.6,8.76,9.227,9.324,9.456,10.012,10.547,10.963,11.095,10.616,10.746,2019
